[08/08/2024 	 12:15:22] 	 GET 	 /products/1
[08/08/2024 	 12:20:26] 	 GET 	 /products/1
[08/08/2024 	 12:20:26] 	 GET 	 /products
[08/08/2024 	 12:20:26] 	 GET 	 /products/1
[08/08/2024 	 12:20:26] 	 GET 	 /products
[08/08/2024 	 12:21:58] 	 GET 	 /products
[08/08/2024 	 12:24:23] 	 GET 	 /products
[08/08/2024 	 12:24:23] 	 GET 	 /products
[08/08/2024 	 12:24:38] 	 GET 	 /products/4
[08/08/2024 	 12:24:38] 	 GET 	 /products/4
[08/08/2024 	 12:24:43] 	 GET 	 /products/7
[08/08/2024 	 12:24:43] 	 GET 	 /products/7
[08/08/2024 	 12:26:00] 	 GET 	 /products
[08/08/2024 	 12:26:11] 	 GET 	 /products/7
[08/08/2024 	 12:26:11] 	 GET 	 /products/7
[08/08/2024 	 12:27:18] 	 GET 	 /products
[08/08/2024 	 12:27:18] 	 GET 	 /products
[08/08/2024 	 12:29:02] 	 GET 	 /products
[08/08/2024 	 12:48:53] 	 POST 	 /register
[08/08/2024 	 12:54:05] 	 POST 	 /users/register
[08/08/2024 	 12:54:13] 	 POST 	 /users/register
[08/08/2024 	 12:55:31] 	 POST 	 /users/register
[08/08/2024 	 13:00:48] 	 POST 	 /users/register
[08/08/2024 	 13:11:03] 	 GET 	 /products
[08/08/2024 	 13:11:03] 	 GET 	 /products
[08/08/2024 	 13:12:28] 	 GET 	 /products
[08/08/2024 	 13:12:28] 	 GET 	 /products
[08/08/2024 	 13:12:43] 	 GET 	 /products
[08/08/2024 	 13:13:43] 	 POST 	 /login
[08/08/2024 	 13:14:19] 	 POST 	 /users/login
[08/08/2024 	 13:14:49] 	 POST 	 /users/login
[08/08/2024 	 13:14:57] 	 POST 	 /users/login
[08/08/2024 	 13:15:05] 	 POST 	 /users/login
[08/08/2024 	 13:15:22] 	 POST 	 /users/login
[08/08/2024 	 13:19:35] 	 POST 	 /users/login
[08/08/2024 	 13:21:37] 	 POST 	 /users/login
[08/08/2024 	 13:26:53] 	 POST 	 /users/login
[08/08/2024 	 13:27:24] 	 POST 	 /users/login
[08/08/2024 	 13:31:41] 	 POST 	 /users/login
[08/08/2024 	 13:32:05] 	 POST 	 /users/login
[08/08/2024 	 13:34:25] 	 POST 	 /users/login
[08/08/2024 	 13:46:17] 	 POST 	 /users/login
[08/08/2024 	 13:46:21] 	 POST 	 /users/login
[08/08/2024 	 13:46:25] 	 POST 	 /users/login
[08/08/2024 	 13:48:55] 	 POST 	 /users/login
[08/08/2024 	 13:54:34] 	 POST 	 /users/login
[08/08/2024 	 13:55:51] 	 POST 	 /users/login
[08/08/2024 	 14:02:16] 	 GET 	 /products
[08/08/2024 	 14:02:31] 	 GET 	 /products
[08/08/2024 	 14:02:42] 	 GET 	 /products
[08/08/2024 	 14:03:02] 	 GET 	 /products
[08/08/2024 	 14:05:18] 	 GET 	 /products
[08/08/2024 	 14:05:37] 	 POST 	 /users/login
[08/08/2024 	 14:07:37] 	 POST 	 /users/login
[08/08/2024 	 14:08:01] 	 POST 	 /users/login
[08/08/2024 	 14:11:25] 	 POST 	 /users/login
[08/08/2024 	 14:11:46] 	 POST 	 /users/login
[08/08/2024 	 14:12:57] 	 POST 	 /users/login
[08/08/2024 	 14:13:18] 	 POST 	 /users/login
[08/08/2024 	 14:13:24] 	 POST 	 /users/login
[08/08/2024 	 14:27:42] 	 POST 	 /users/login
[08/08/2024 	 14:44:01] 	 POST 	 /products/products
[08/08/2024 	 14:57:03] 	 POST 	 /products
[08/08/2024 	 14:57:26] 	 POST 	 /products
[08/08/2024 	 15:01:37] 	 POST 	 /products
[08/08/2024 	 15:05:06] 	 POST 	 /products
[08/08/2024 	 15:06:47] 	 POST 	 /products
[08/08/2024 	 15:09:22] 	 POST 	 /products
[08/08/2024 	 15:11:06] 	 POST 	 /products
[08/08/2024 	 15:13:10] 	 POST 	 /products
[08/08/2024 	 15:14:54] 	 POST 	 /products
[08/08/2024 	 15:21:36] 	 POST 	 /products
[08/08/2024 	 15:28:38] 	 POST 	 /products
[08/08/2024 	 15:37:02] 	 POST 	 /products
[08/08/2024 	 15:37:29] 	 GET 	 /products
[08/08/2024 	 15:37:29] 	 GET 	 /products
[08/08/2024 	 15:37:34] 	 POST 	 /users/login
[08/08/2024 	 15:38:32] 	 POST 	 /products
[08/08/2024 	 15:39:24] 	 GET 	 /products
[08/08/2024 	 15:39:24] 	 GET 	 /products
[08/08/2024 	 15:39:37] 	 GET 	 /products/101
[08/08/2024 	 15:39:37] 	 GET 	 /products/101
[08/08/2024 	 15:43:55] 	 GET 	 /products
[08/08/2024 	 15:43:55] 	 GET 	 /products
[08/08/2024 	 15:44:25] 	 POST 	 /products
